,date,temperature,pressure,humidity,sunshine
282,2022-01-06 21:30:00,-8.2,764.0,83.0,7.16
283,2022-01-06 22:00:00,-8.4,764.0,83.0,7.16
284,2022-01-06 22:30:00,-8.4,764.0,83.0,7.16
285,2022-01-06 23:00:00,-8.6,764.1,84.0,7.16
286,2022-01-06 23:30:00,-8.6,764.1,84.0,7.16
287,2022-01-07 00:00:00,-8.7,764.1,84.0,7.16
288,2022-01-07 00:30:00,-8.7,764.1,84.0,7.19
289,2022-01-07 01:00:00,-8.8,764.1,84.0,7.19
290,2022-01-07 01:30:00,-8.8,764.1,84.0,7.19
291,2022-01-07 02:00:00,-8.9,764.2,84.0,7.19
292,2022-01-07 02:30:00,-8.9,764.2,84.0,7.19
293,2022-01-07 03:00:00,-9.0,764.2,84.0,7.19
294,2022-01-07 03:30:00,-9.1,764.2,84.0,7.19
295,2022-01-07 04:00:00,-9.1,764.2,84.0,7.19
296,2022-01-07 04:30:00,-9.1,764.2,84.0,7.19
297,2022-01-07 05:00:00,-9.1,764.2,84.0,7.19
298,2022-01-07 05:30:00,-9.0,764.2,84.0,7.19
299,2022-01-07 06:00:00,-8.9,764.2,84.0,7.19
300,2022-01-07 06:30:00,-8.8,764.1,84.0,7.19
301,2022-01-07 07:00:00,-8.7,764.1,84.0,7.19
302,2022-01-07 07:30:00,-8.7,764.1,84.0,7.19
303,2022-01-07 08:00:00,-8.5,764.1,84.0,7.19
304,2022-01-07 08:30:00,-8.3,764.0,83.0,7.19
305,2022-01-07 09:00:00,-8.3,764.0,83.0,7.19
306,2022-01-07 09:30:00,-8.2,764.0,83.0,7.19
307,2022-01-07 10:00:00,-8.0,763.9,83.0,7.19
308,2022-01-07 10:30:00,-7.9,763.9,83.0,7.19
309,2022-01-07 11:00:00,-7.7,763.8,83.0,7.19
310,2022-01-07 11:30:00,-7.7,763.8,83.0,7.19
311,2022-01-07 12:00:00,-7.5,763.8,83.0,7.19
312,2022-01-07 12:30:00,-7.3,763.7,83.0,7.19
313,2022-01-07 13:00:00,-7.3,763.7,83.0,7.19
314,2022-01-07 13:30:00,-7.3,763.7,83.0,7.19
315,2022-01-07 14:00:00,-7.3,763.7,83.0,7.19
316,2022-01-07 14:30:00,-7.1,763.7,82.0,7.19
317,2022-01-07 15:00:00,-7.0,763.6,82.0,7.19
318,2022-01-07 15:30:00,-7.1,763.7,82.0,7.19
